Id,Question,Essay,ta,cc,lr,gr,Overall
1,"There is a lot of pressure on young people today to succeed academically. As a result,
some people believe that non-academic subjects, such as physical education and cookery,
should be removed from the school syllabus so that children can concentrate on academic
work.
To what extent do you agree or disagree?","Physical education and cookery should be removed from the syllabus so that children can
concentrate on wholly academic subjects.
I disagree with this opinion. Physical education is important teaching because there are many
things taught. Nowadays there is a big problem with obesity and children are not very health.
spending time watching TV and playing computer games. Physical education teaches children fit
and healthey. Also with physical education children play games like football. Football good for
children because children play in teams and learn how to play in teams. However, that is some
teach not so good in Physical education. Maybe children can choose sports. I think physical
Education more important than cookery. Cookery not very important children to learn in school.
Some mothers can teach cookery at home to children also some children can learn cookery at
home. Now on TV are many cookery programs children can watch and learn it. In my school was
no cookery and that was good for study. But there are good sides to cookery. People nowadays
have fast food and unhealth food. This gives children and people fat. Teaching cook can help
children. They will know health food and can teach vegetables and fruits. This might be usefull for
childrens.
In conclusion, I think non academic subjects are different. physical education is good for children
for helthy. Schools need to teach physical education and games like football to child. To teach
cookery isnot important for all child. Some schools teach cookery but some schools don’t teach
cookery.",5,5,5,5,5
2,"There is a lot of pressure on young people today to succeed academically. As a result,
some people believe that non-academic subjects, such as physical education and cookery,
should be removed from the school syllabus so that children can concentrate on academic
work.
To what extent do you agree or disagree?","Nowadays there is many pressures for young people to have good school result in academic
subjects. It is difficult for young people to get to university and for finding work after eductions. So
some people think that non academic subject are not as good for children to be learn at school and
they should only do academic subjects. I disagree with this statement and think non academic
subjects are also good for learning and developing children.
Firstly I think that school is not only a place for learning academic subjects and that other subjects
can be very useful at school. For example, when children learn physic education it is not only
academical learning but also other things. Also children can learn how can they be good health
and this is important for their life. Because many people have obesity and this is not a good
situation. If children learn physical education they would not have obesity as much.
Secondly I think that it is useful for school for teaching other things at school like cookery. I think
that this is a good skill for people to learn for the health and also there are many jobs with cookery.
For example, maybe you can open a restaurant or have difference cooking work. Therefore this is
a good situation for some children and is good to learn non academic subjects.
In conclusion I think that children can learn academic and non academic subjects and school and
this is the best thing for children. however, maybe there can be after school lessons or clubs for
children to learn skills and teachings that are non academic and be more academic in school time.",6,6,6,6,6
3,"There is a lot of pressure on young people today to succeed academically. As a result,
some people believe that non-academic subjects, such as physical education and cookery,
should be removed from the school syllabus so that children can concentrate on academic
work.
To what extent do you agree or disagree?","Young people today are under pressure to do well at school and go on to higher education of find a
good job. For this reason many people think that non academic subjects are waste of time and that
schools should only focus on more academic subjects. I would disagree with this opinion and in
this essay will explain why.
Firstly there is a variety of skills are taught in non academic subjects that are essential for living. A
school should not only be focus on academic areas but should give children a range of skills. For
example children learn teamwork, discipline, leadership skills and how to solve problems with non
academic subjects.
Secondly, not all children want and need academic subjects. It is not important for everybody to go
higher education and have good result in school. There are some subject that teach children to be
more successful and find work easier. Subjects such like cookery and woodwork will be good for
some students and give possibilities for job opportunities as chefs or furniture makers, for example.
Finally, school can be very stressful and if all subjects are only very academic then it is bad for
children. Non academic subjects like physical education and music reduce their stress better than
only with academic subjects.
In conclusion I argue that non academic subjects are important because they can help children
learn skills, find work and reduce stress. A school should not only be focus on academic success
but teach lots of skills to children.",7,7,7,7,7
4,"There is a lot of pressure on young people today to succeed academically. As a result,
some people believe that non-academic subjects, such as physical education and cookery,
should be removed from the school syllabus so that children can concentrate on academic
work.
To what extent do you agree or disagree?","Students nowadays are under a lot of pressure to achieve academical success in order to get into
a good university or secure a well paid job. For this reason some people argue that schools need
to focus on academic subjects and vocational subjects should therefore not taught at schools. I
would argue that while academic skills are important, schools need to teach a wide range of both
academic and more skills-based subjects.
Firstly, school should not only be about teaching academic skills but a wider range of life skills so
that students can join society when leaving school. Practical subjects can help to teach these skills
to students. For example, physical education teaches students how to work as part of a team and
also the importance of being healthy. Furthermore, if cookery is taught then students would learn a
great deal about health and nutrition.
Secondly, academic subjects are not of equal important for all students. There is the possibility of
including more practical non academic subjects on the syllabus like woodwork, textile design and
computing skills. If they study these subjects students will increase their employment prospects
and could help them to secure employment when they leave school. It is important to remember
that not all students will continue to higher education and school needs to enable those students to
find work.
Finally, too much pressure should not be put on school students. Taking part in non academic
subjects like art, music or drama gives students the opportunity to be creative. This could help
them to manage stress degrees and have more productive in other areas.
In conclusion I would argue that although academic subjects being important, this should not be
the only focus of a school syllabus. There are a number of benefits to teaching students non
academic subjects",8,8,8,8,8
5,"There is a lot of pressure on young people today to succeed academically. As a result,
some people believe that non-academic subjects, such as physical education and cookery,
should be removed from the school syllabus so that children can concentrate on academic
work.
To what extent do you agree or disagree?","Students nowadays are under increasing pressure to achieve academic success in order to get
into a good university or secure a well paid job. For this reason some people argue that schools
need to focus on academic subjects and non academic subjects should therefore not be taught. I
would argue that while academic skills are important, schools need to teach a wide range of both
academic and more skills-based subjects.
Firstly, not only should school be about teaching academic skills but also a wider range of life skills
so that students can take an active part in society upon leaving school. Practical subjects can help
to teach these skills to students. For example, physical education teaches students both how to
work as part of a team and also the importance of being healthy. Furthermore, if cookery is taught
then students will learn a great deal about health and nutrition.
Secondly, academic subjects are not equally important for all students. There is the possibility of
including more vocational non academic subjects on the syllabus like woodwork, textile design and
computing skills. By studying these subjects, students will increase their employment prospects
and be better placed to secure employment when leaving school. It is important to remember that
not all students will continue to higher education and school needs to enable these students to find
work.
Finally, too much pressure should not be placed on students. Taking part in non academic subjects
like art, music or drama gives students the opportunity to be creative. This could help them to
manage stress levels and be more productive in other areas.
In conclusion I would argue that although academic subjects are very important, this should not be
the sole focus of a school syllabus. There are a number of benefits to teaching students non
academic subjects.",9,9,9,9,9
6,"As the internet becomes more popular, newspapers are becoming a thing of the past.
To what extent do you agree or disagree with this statement?","As the internet becomes more popular, newspapers will soon become a thing of the past. I am
agree with this topic. The internet there is many informations about everything and the informations
is change all the time. In the newspapers there is not so much information and not easy to find
informations you want. There is not search function like on internet page. Also with the internet you
can do much more than read. Also play and watch. This is better for the people than newspapers.
Also newspapers can be very boring just stories and pictures. Pictures are sometimes good in the
newspapers but they don’t have videos like the internet offer. Many newspapers are online
newspapers. People can read the same stories in newspapers and on the internet. On the internet
also write comments so newspapers are interaction. On the other hand. Newspapers can be on
computer and on smartphone. On computer maybe newpspaers are more better than internet
sometimes. Newspapers are small and you can go anyway with newspapers. maybe read
newspapers on train or bus. Internet you have to read on computer. But nowadays people have
smartphones. Smartphones can be anywhere with you all the time. Also smartphones can do many
more things like music and watch and play. You can read newspapers on smartphones. this is
good for convenient people. If you went anywhere you wil have lots of newspapers with you all the
time and you can read. In conclusion, i think that newspapers on smartphones is better than
newpapers old style but maybe newpapers are better for old people to read.",5,5,5,5,5
7,"As the internet becomes more popular, newspapers are becoming a thing of the past.
To what extent do you agree or disagree with this statement?","Nowadays it is easy to read the news in many different ways than in the past. We can get lots of
informations from the internet that in the past would only be on the newspaper. Some people
believe that in the future there will not be newspapers. I agree with this statement.
Firstly getting informations from the internet are much more convenience than from a newspaper.
You can read news on the internet in anyplace and at anytime for example on your computer at
work or on your smartphone when you are on the bus. Reading a newspaper means that you will
need to go to the shop for buying a newspaper and be carry it with you. This is not as convenience
as reading on the internet.
Secondly news on the internet are much faster than news in the newspaper. News in the
newspaper can only be about yesterday or before. All newspapers are wrote the day before they
are sell in theshops. With the internet you can read as soon as a story happens. This way you get
news much more quicker.
Finally there are more stories on the internet for news. When I read a story on the internet I can
read different writers opinion about the news. i think this is good thing because you understand
more things about the news. In conclusion I believe that the internet is better for news than
newspapers many people who are buy newspapers now are older and for young people the
newspaper is not very important.",6,6,6,6,6
8,"As the internet becomes more popular, newspapers are becoming a thing of the past.
To what extent do you agree or disagree with this statement?","Nowadays more and more people use the internet to read news stories. Because of this some
people argue that in the future there will no longer be newspapers because everyone will use the
internet. I think that there are advantages to using the internet but that there are still some
advantages to the newspapers so newspapers should stay.
There are advantages to read the news with your computer or smartphone. For example, this is
very convenient for some people. Furthermore it has changed the style of news and with a website
or news app there is often sound and video as well as written texts. Furthermore people can also
have interact more with news and discuss stories with other people.
Another advantage is that the internet news is much newer than the newspaper. If something
happens you read on the internet straight away the details and many people upload pictures to the
website. On the other hand, with the newspaper all the news are from the day before.
However, I do think there are some benefits to the newspaper. You can have bigger pictures to go
with a story than on a smartphone. Furthermore it is more comfortable to turn the pages on the
newsaper than have to always click on a new webpage. Additionally, many stories have more
detail.

In conclusions, because there are some benefits to the newspaper like pictures and ,more detail, I
think it would be bad if newspapers no longer existed and they will be here in future.",7,7,7,7,7
9,"As the internet becomes more popular, newspapers are becoming a thing of the past.
To what extent do you agree or disagree with this statement?","It has become increasingly common for people to access the news electronically rather than with
traditional newspapers with many commentators suggest that this could mean the end for
newspapers. I would agree with this and think that in the future newspapers will disappear.
Firstly, news accessed online is much more interaction than in a newspaper. Readers can
comment on stories, and discussing items on message boards. Furthermore, many more
photographs can included with a story with many sites even give readers the opportunity to upload
their own photos and videos.
Secondly, news read on the internet are much more current than in a newspaper. It is possible for
readers to read about stories as they happen and watch the development. This is compared with
newspapers which only report on the previous days events. As a result, they seem increasingly
dated even before they are on sale.
Finally, online news offer readers much more choice and a more information. It is possible to read
the same story from a range of different sources on the internet. Some people suggest that this is
better than only reading the story in one newspaper as you can compare different ones and have
different viewpoints and the way stories are presented. This is compared with traditional
newspapers which might only report one side of the story.
In conclusion, I would argue that in the future it will become increasingly difficult to sell
newspapers. Because traditional newspapers will not be able to compete they will disappear.",8,8,8,8,8
10,"As the internet becomes more popular, newspapers are becoming a thing of the past.
To what extent do you agree or disagree with this statement?","It has become increasingly common for people to access the news electronically rather than with
traditional print media with many commentators suggesting that this could spell the end for
newspapers. I would agree with this and think that in the future newspapers will disappear.
First of all, news accessed online has much more interactivity than in a newspaper. Readers are
given the option of commenting on stories, and discussing items on message boards. Furthermore,
there is no limit to the number of photographs that could be included with a story with many sites
even giving readers the opportunity to upload their own photos and videos.

Another point to make is that news read on the internet is much more current than in a newspaper.
It is possible for readers to read about breaking stories and watch these stories develop, such as
the emergence of a war or hostage negotiation. This is compared with newspapers which only
report on the previous day’s events. As a result, they seem increasingly dated even before they hit
the newsstands.
Finally, online news offers readers much more choice and a wider range of information. It is
possible to read the same story from a range of different sources on the internet. For example, a
news article with a left-wing stance compared to one with a more right-wing agenda. Some people
suggest that this allows for a more balanced view than only reading the story in one newspaper as
you can compare different viewpoints and the way stories are presented. This is compared with
traditional newspapers which have much more editorial bias.
In conclusion, I would argue that in the future it will become increasingly difficult to sell
newspapers. The fact that online news offers more interaction and choice and is more up to date
means that traditional printed news will not be able to compete and will disappear.",9,9,9,9,9
